Date,HScode,Name,Country,Type,Value,Weight
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,進口,2063,38487.57
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,進口,17,11.02
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,出口,17,33.6
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印尼,進口,28,150
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印度,進口,79,720
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,法國,進口,47,180.005
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,美國,進口,1496,5694.158
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,英國,進口,68,107.64
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,泰國,出口,4,7
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,烏克蘭,進口,53,253.01
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,進口,11,40
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,菲律賓,出口,4,7.6
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,越南,進口,18,72
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,越南,出口,122,240.59
2025-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,澳大利亞,進口,73,305
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,中國大陸,進口,567,600.6
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,日本,進口,1278,18180.12
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,北馬里亞納群島,出口,165,2500
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印尼,進口,6283,136286
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印度,進口,55,61.8
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印度,出口,13,1.49
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,其他國家,出口,0,0.16
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,法國,進口,38,54.6
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,泰國,進口,21,130.254
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,馬來西亞,進口,56,375.2
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,荷蘭,進口,168,157.2
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,菲律賓,出口,19,26.53
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,越南,進口,6120,111431.2
2025-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,關島,出口,765,11500
2025-01,2808,硝酸；磺硝酸,中國大陸,進口,469,1110.411
2025-01,2808,硝酸；磺硝酸,中國大陸,出口,96,47
2025-01,2808,硝酸；磺硝酸,中華民國,進口,21,21.094
2025-01,2808,硝酸；磺硝酸,日本,進口,33,20.063
2025-01,2808,硝酸；磺硝酸,比利時,進口,31,69.65
2025-01,2808,硝酸；磺硝酸,加拿大,進口,1,0.012
2025-01,2808,硝酸；磺硝酸,法國,進口,0,0.021
2025-01,2808,硝酸；磺硝酸,南韓,進口,49,97.44
2025-01,2808,硝酸；磺硝酸,美國,進口,0,0.005
2025-01,2808,硝酸；磺硝酸,美國,出口,21,18.2
2025-01,2808,硝酸；磺硝酸,馬來西亞,出口,4,1.08
2025-01,2808,硝酸；磺硝酸,新加坡,出口,41,30
2025-01,2808,硝酸；磺硝酸,瑞士,進口,0,0.001
2025-01,2808,硝酸；磺硝酸,德國,進口,35,2.709
2025-01,2814,無水氨或氨水溶液,中國大陸,進口,7,1.425
2025-01,2814,無水氨或氨水溶液,中國大陸,出口,166,67.534
2025-01,2814,無水氨或氨水溶液,中華民國,進口,4,2.056
2025-01,2814,無水氨或氨水溶液,日本,進口,1,0.102
2025-01,2814,無水氨或氨水溶液,日本,出口,20,3.71
2025-01,2814,無水氨或氨水溶液,以色列,出口,391,190.329
2025-01,2814,無水氨或氨水溶液,加拿大,進口,1,0.002
2025-01,2814,無水氨或氨水溶液,西班牙,進口,0,0.004
2025-01,2814,無水氨或氨水溶液,沙烏地阿拉伯,進口,5542,13804.02
2025-01,2814,無水氨或氨水溶液,南韓,進口,1,0.002
2025-01,2814,無水氨或氨水溶液,美國,進口,0,0.001
2025-01,2814,無水氨或氨水溶液,美國,出口,38,64.14
2025-01,2814,無水氨或氨水溶液,英國,進口,0,0.005
2025-01,2814,無水氨或氨水溶液,馬來西亞,出口,32,28
2025-01,2814,無水氨或氨水溶液,荷蘭,出口,433,200.95
2025-01,2814,無水氨或氨水溶液,越南,出口,0,0.068
2025-01,2814,無水氨或氨水溶液,愛爾蘭,出口,94,72
2025-01,2814,無水氨或氨水溶液,新加坡,出口,148,140.508
2025-01,2814,無水氨或氨水溶液,德國,進口,6,0.658
2025-01,2814,無水氨或氨水溶液,澳大利亞,進口,3061,7437.73
2025-01,2834,亞硝酸鹽；硝酸鹽,中國大陸,進口,165,298.4
2025-01,2834,亞硝酸鹽；硝酸鹽,中國大陸,出口,632,208.18
2025-01,2834,亞硝酸鹽；硝酸鹽,日本,進口,0,0.021
2025-01,2834,亞硝酸鹽；硝酸鹽,印尼,出口,0,0.3
2025-01,2834,亞硝酸鹽；硝酸鹽,印度,進口,37,61.011
2025-01,2834,亞硝酸鹽；硝酸鹽,西班牙,進口,195,102.052
2025-01,2834,亞硝酸鹽；硝酸鹽,波蘭,進口,0,0
2025-01,2834,亞硝酸鹽；硝酸鹽,法國,進口,2,0.011
2025-01,2834,亞硝酸鹽；硝酸鹽,美國,進口,12,1.12
2025-01,2834,亞硝酸鹽；硝酸鹽,英國,進口,4,0.05
2025-01,2834,亞硝酸鹽；硝酸鹽,泰國,出口,1,1
2025-01,2834,亞硝酸鹽；硝酸鹽,捷克,進口,0,0
2025-01,2834,亞硝酸鹽；硝酸鹽,荷蘭,進口,29,24.001
2025-01,2834,亞硝酸鹽；硝酸鹽,瑞士,進口,0,0
2025-01,2834,亞硝酸鹽；硝酸鹽,德國,進口,22,21.034
2025-01,2834,亞硝酸鹽；硝酸鹽,墨西哥,進口,0,0
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,進口,1135,13907.9
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,出口,10,5.585
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,巴西,進口,109,288
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,進口,2,1.06
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,出口,8,16.8
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印尼,進口,45,221.8
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印度,進口,75,720
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,西班牙,進口,0,0.1
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,孟加拉,出口,2,6
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,法國,進口,25,140.001
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,南韓,進口,0,0.02
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,美國,進口,1694,6896.362
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,英國,進口,22,79.8
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,泰國,出口,10,17.04
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,進口,4,40
2025-02,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,菲律賓,出口,10,14.515
