Date,HScode,Name,Country,Type,Value,Weight
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,進口,3143,65743
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,出口,23,25
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,進口,8,16
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,出口,9,20
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印尼,進口,6,30
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印度,進口,18,175
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,法國,進口,44,188
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,柬埔寨,出口,0,1
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,美國,進口,2903,14593
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,英國,進口,54,195
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,泰國,出口,30,63
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,紐西蘭,進口,38,60
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,進口,45,229
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,出口,35,73
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,菲律賓,出口,38,90
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,越南,進口,7,30
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,越南,出口,42,106
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,瑞士,進口,12,1
2016-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,德國,進口,0,0
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,中國大陸,進口,305,772
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,中國大陸,出口,1,1
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,日本,進口,1029,20020
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,日本,出口,4,4
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,北馬里亞納群島,出口,148,3000
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印尼,進口,275,2206
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印度,進口,90,120
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,其他國家,出口,0,0
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,奈及利亞,出口,1,3
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,波蘭,進口,0,0
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,法國,進口,206,350
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,南韓,進口,35,58
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,南韓,出口,3,6
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,美國,進口,20,16
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,美國,出口,2069,39000
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,英國,進口,18,21
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,香港,出口,1091,23000
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,泰國,進口,21,151
2016-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,馬來西亞,出口,1664,39000
