Company,Plant,Latitude,Longitude,Capture_Source,Capture_Tech,TRL,Separation_Tech,Temperature,Pressure,Concentration,Capture_Volume,Captur_energy,Net_Capture_Volume,Potential_Source,Future_Emission_Volume,Future_Temperature,Future_Pressure,Future_Concentration,Year
中石化,頭份廠,24.68,120.91,,,,,,,,,,,天然氣蒸汽鍋爐煙道氣,0.3,150,0,99,2025
長春石化,苗栗二廠,24.58,120.82,氫氣製程尾氣,化學吸收法,9,蒸餾法,-20,20,99.9,2.5,1.422,1.078,氫氣製程尾氣,2.6,25,0.2,60,2025
奇美實業,仁德廠,23.6,120.9,熱煤油鍋爐煙道氣,化學吸收法,9,加熱脫附,25,1,99.5,0.001,2.45,-2.449,聚碳酸酯製程,2.5,150,1,11,2025
台塑化,麥寮廠,23.78,120.18,,,,,,,,,,,氫氣工廠PSA單元進料氣,217,38,20.8,23.7,2025
大連化工,麥寮廠,23.78,120.18,丙烯醇製程氣,化學吸收法,9,,25,1,90,6.1,3.342,2.758,,0,,,,2025
大連化工,大發廠,22.58,120.4,丙烯醇製程,化學吸收法,9,,39.4,0.25,96.73,0.754,0.196,0.558,丙烯醇製程,16,75,9,22.3,2025
國喬石化,高雄廠,22.7,120.34,,,,,,,,,,,汽電廠鍋爐,52,55,0,12.5,2025
和桐化學,仁武廠,22.7,120.34,,,,,,,,,,,加熱爐煙道氣 P001,1.8,186,-,8.6,2025
高雄塑酯,高雄廠,23.6,120.9,,,,,,,,,,,SAR regeneration stack,4.2,50,-,3.1,2025
和益化工,林園廠,22.51,120.38,,,,,,,,,,,製程熱煤油鍋爐煙道氣,8,250,1,6,2025
台灣苯乙烯,高雄廠,22.493,120.382,,,,,,,,,,,汽電燃煤鍋爐,20.1,110,1,0.8,2025
