年度,項目,管制編號,事業名稱,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,七大製造業
112,34,L9101748,中美和石油化學股份有限公司台中廠,"155,795.34","29,438.19","185,233.53",台中市,化學原材料製造業,石化業
112,53,L91A1845,亞東工業氣體股份有限公司台中分公司,"6,517.16","70,736.79","77,253.95",台中市,化學原材料製造業,石化業
112,54,B9503291,亞東工業氣體股份有限公司中科園區分公司二廠,5.139,"75,993.80","75,998.94",台中市,化學原材料製造業,石化業
112,60,B9501153,聯亞科技股份有限公司中科聯豐工廠,9.3035,"56,662.20","56,671.50",台中市,化學原材料製造業,石化業
112,67,L91A2566,藍海氣體工業股份有限公司台中廠,103.488,"43,478.42","43,581.91",台中市,化學原材料製造業,石化業
112,70,L9202231,三福氣體股份有限公司中科分公司中科二廠,87.0767,"35,381.55","35,468.62",台中市,化學原材料製造業,石化業
112,72,L92A0991,三福氣體股份有限公司中科分公司中科三廠,0.6225,"33,019.65","33,020.28",台中市,化學原材料製造業,石化業
112,87,L02A1943,餘慶堂興業股份有限公司研磨廠,"17,708.20","23,691.45","41,399.65",台中市,水泥及其製品製造業,非金屬業
112,90,B23B6125,台灣積體電路製造股份有限公司十五B廠,"140,542.41","1,567,673.04","1,708,215.45",台中市,半導體製造業,電子業
112,91,L95A2041,台灣積體電路製造股份有限公司15廠,"162,883.72","830,364.09","993,247.81",台中市,半導體製造業,電子業
112,94,L9202099,台灣美光記憶體股份有限公司台中一廠,"110,168.50","537,333.60","647,502.10",台中市,半導體製造業,電子業
112,109,B9205905,台灣美光記憶體股份有限公司台中三廠,"41,482.22","281,727.14","323,209.36",台中市,半導體製造業,電子業
112,112,L9506056,華邦電子股份有限公司中科廠,"32,108.58","251,278.93","283,387.51",台中市,半導體製造業,電子業
112,123,B9502212,矽品精密工業股份有限公司中科廠,"5,422.53","205,090.83","210,513.36",台中市,半導體製造業,電子業
112,127,B9202664,台灣美光記憶體股份有限公司台中二廠,"10,214.34","175,963.59","186,177.93",台中市,半導體製造業,電子業
112,143,L9402188,矽品精密工業股份有限公司中山廠,"1,368.77","108,670.90","110,039.67",台中市,半導體製造業,電子業
112,147,B9503479,台灣積體電路製造股份有限公司先進封測五廠,758.91,"88,143.94","88,902.85",台中市,半導體製造業,電子業
112,149,L9401476,矽品精密工業股份有限公司大豐廠,"7,853.11","75,647.73","83,500.84",台中市,半導體製造業,電子業
112,213,B23A2532,亞東工業氣體股份有限公司-中科園區分公司,54.1453,"56,451.80","56,505.95",台中市,未分類其他化學製品製造業,石化業
112,219,L9506663,聯亞科技股份有限公司中科工廠,3.0564,"51,023.48","51,026.54",台中市,未分類其他製造業,其他業
112,224,L91A0867,台灣中油股份有限公司天然氣事業部台中液化天然氣廠,"2,060.76","64,159.93","66,220.69",台中市,石油及煤製品製造業,石化業
112,225,B2313780,友達光電股份有限公司台中廠,"19,097.41","847,846.82","866,944.23",台中市,光電材料及元件製造業,電子業
112,231,L92A0931,友達光電股份有限公司后里廠,"6,793.18","344,400.75","351,193.93",台中市,光電材料及元件製造業,電子業
112,246,B9200124,友達晶材股份有限公司后里廠,116.5727,"37,030.47","37,147.04",台中市,光電材料及元件製造業,電子業
112,252,B24B8988,大立光電股份有限公司七廠,489.4588,"70,346.66","70,836.12",台中市,光學儀器及設備製造業,電子業
112,253,B24B8998,大立光電股份有限公司七之一廠,685.6557,"52,277.53","52,963.19",台中市,光學儀器及設備製造業,電子業
112,254,B24A7498,大立光電股份有限公司精密機械園區廠,497.2466,"39,978.76","40,476.01",台中市,光學儀器及設備製造業,電子業
112,290,B2313762,宏全國際股份有限公司台中二廠,711.5168,"35,246.20","35,957.71",台中市,其他金屬製品製造業,其他業
112,292,B2311535,台灣康寧顯示玻璃股份有限公司,"37,778.34","309,048.54","346,826.89",台中市,其他非金屬礦物製品製造業,非金屬業
112,295,L02A0301,中聯資源股份有限公司台中廠,"33,097.63","24,737.98","57,835.61",台中市,其他非金屬礦物製品製造業,非金屬業
112,302,L9000666,味丹企業股份有限公司沙鹿第一工廠,"35,504.87","12,140.13","47,645.00",台中市,其他食品製造業,其他業
112,308,L8900676,永豐餘消費品實業股份有限公司清水廠,"35,845.76","27,731.66","63,577.42",台中市,其他紙製品製造業,造紙業
112,323,L91A3247,台灣肥料股份有限公司台中廠,"372,488.83","41,432.07","413,920.90",台中市,肥料及氮化合物製造業,其他業
112,326,B9100709,華新麗華股份有限公司台中不銹鋼廠,"41,455.13","39,201.62","80,656.76",台中市,金屬加工處理業,其他業
112,352,L9100198,台灣玻璃工業股份有限公司台中廠,"80,236.35","18,958.34","99,194.68",台中市,玻璃及其製品製造業,非金屬業
112,363,L9200693,正隆股份有限公司后里分公司,"803,581.87","36,273.43","839,855.31",台中市,紙漿、紙及紙板製造業,造紙業
112,370,L8801052,廣源造紙股份有限公司台中廠,"68,702.42","35,129.33","103,831.75",台中市,紙漿、紙及紙板製造業,造紙業
112,385,L8901039,中聯油脂股份有限公司台中港廠,"30,735.24","15,541.88","46,277.12",台中市,動植物油脂製造業,其他業
112,429,L0200633,中龍鋼鐵股份有限公司,"9,054,468.02","161,898.04","9,216,366.06",台中市,鋼鐵製造業,鋼鐵業
112,430,L9200728,豐興鋼鐵股份有限公司,"197,345.96","499,394.27","696,740.22",台中市,鋼鐵製造業,鋼鐵業
112,458,L0200473,台灣電力股份有限公司台中發電廠,"26,146,002.06","2,976.90","26,148,978.95",台中市,電力供應業,電力業
112,369,V7500777,中華紙漿股份有限公司台東廠,"106,307.67","47,151.95","153,459.62",台東縣,紙漿、紙及紙板製造業,造紙業
112,7,R1001791,台南紡織股份有限公司太子廠,"23,813.18","53,816.76","77,629.94",台南市,人造纖維製造業,石化業
112,31,D0403385,三福氣體股份有限公司南科分公司南科8廠,402.3846,"217,718.84","218,121.23",台南市,化學原材料製造業,石化業
112,37,D0306069,聯亞科技股份有限公司樹谷工廠,63.4415,"167,277.09","167,340.54",台南市,化學原材料製造業,石化業
112,56,R9001631,三福氣體股份有限公司南科廠,355.6225,"67,622.02","67,977.65",台南市,化學原材料製造業,石化業
112,77,D32A9989,亞東工業氣體股份有限公司台南廠,"7,560.85","23,336.96","30,897.80",台南市,化學原材料製造業,石化業
112,79,R8400416,臺灣紙業股份有限公司新營紙廠,"6,915.25","20,101.53","27,016.77",台南市,化學原材料製造業,石化業
112,92,R9001677,台灣積體電路製造股份有限公司十四廠,"173,807.29","736,957.10","910,764.39",台南市,半導體製造業,電子業
112,93,D9000746,台灣積體電路製造股份有限公司十四B廠,"82,437.62","660,548.79","742,986.40",台南市,半導體製造業,電子業
112,95,D0402208,台灣積體電路製造股份有限公司十八廠一期,"30,057.36","512,594.36","542,651.71",台南市,半導體製造業,電子業
112,97,D0402431,台灣積體電路製造股份有限公司十八廠二期,"35,823.40","482,349.50","518,172.90",台南市,半導體製造業,電子業
112,98,D0402904,台灣積體電路製造股分有限公司18廠三期,"32,785.37","464,360","497,145.37",台南市,半導體製造業,電子業
112,99,R0304131,聯華電子股份有限公司Fab12A廠,"47,738.46","401,583.01","449,321.47",台南市,半導體製造業,電子業
112,103,D0402824,台灣積體電路製造股份有限公司十八廠五期,"32,984.38","377,420.44","410,404.82",台南市,半導體製造業,電子業
112,104,D0402815,台灣積體電路製造股份有限公司十八廠六期,"27,119.45","370,749.85","397,869.30",台南市,半導體製造業,電子業
112,105,D0402833,台灣積體電路製造股份有限公司十八廠四期,"31,163.09","353,237.08","384,400.17",台南市,半導體製造業,電子業
112,106,D9001396,台灣積體電路製造股份有限公司十四廠七期,"39,309.82","344,099.06","383,408.88",台南市,半導體製造業,電子業
