公司,廠區,區域,製程,純度,單位碳排,備註,2025_產能,2025_產量,2025_外售量,2025_外售對象,2024_產能,2024_產量,2023_產能,2023_產量
TOTAL_SUMMARY,,,,,,,64.6413,49.31265,6.53585,,0,47.7051,0,44.43
大連化學,大發廠,南部,甲醇裂解,99,11.9971,,1.9172,0.9669,,,,1.38,,
大連化學,麥寮廠,中部,甲醇重組,99,11.9641,,0.8316,0.8024,,,,0.708,,
中石化,頭份廠,中部,其他製程,99.9,3.5,原製程:鄰苯基苯酚製程,0.0112,0.01,,,,0.0042,,
台塑化,麥寮台塑工業園區廠,中部,輕油重組,99.9,11.734,原製程:LPG/輕油重組; 原製程:LPG/輕油重組單元,21.6,11.8017,,,,11.86,,15.3
台塑化,麥寮台塑工業園區廠,中部,其他製程,99,2.0791,原製程:回收純化; 原製程:氫氣回收純化單元; 原製程:加氫脫硫單元; 原製程:化學品/油品氫化製程,3.66,2.8377,,,,2.6,,
台塑化,麥寮台塑工業園區廠,中部,輕油裂解,99.9,11.9981,原製程:乙烯製程氫氣純化裝置; 原製程:輕油裂解廠副產氣,4.4,3.3422,,,,3.8,,
台灣中油,石化事業部,南部,輕油裂解,95,11.6918,原製程:新第三輕油裂解工場; 原製程:第四輕油裂解工場; 原製程:新三輕組反應器使用; 原製程:四輕組反應器使用,4.66,3.99,0.6997,"鄰近廠區(0.2281噸), 中油大林廠(0.4716噸)",,1.69,,4.2
台灣中油,桃園煉油廠,北部,天然氣重組,99.9,14.679,,3.0809,2.8536,,,,2.57,,
台灣中油,桃園煉油廠,北部,觸媒重組,93,0.8583,原製程:觸媒重組(副產氫氣),,0.8854,,,,1.09,,3.16
台灣中油,大林煉油廠,南部,天然氣重組,99.9,9.959,,3.0809,0.2229,0.0464,鄰近廠區(0.0464噸),,0.45,,
台灣中油,大林煉油廠,南部,觸媒重組,,1.3716,原製程:觸媒重組(副產氫氣),,5.2056,,,,4.68,,8.2
台灣化纖,台北廠區廠,北部,觸媒重組,99.9,0.17,原製程:芳烃製程-重組單元,10.5,9.6,,,,9.6,,4.5
台灣石化,台灣石化廠,南部,其他製程,99.9,11.7302,原製程:丁酮製程,0.25,0.1705,,,,0.14,,
台灣苯乙烯,高雄廠,南部,其他製程,93,,原製程:苯乙烯製程,1.89,1.7332,,,,1.44,,0.47
台灣塑膠,麥寮廠,中部,鹼氯製程,99.99,12.0376,原製程:碱氯製程,3.5,2.8694,0.8853,碱廠：賣給塑化煉製二廠(0.8853噸),,,,
台灣塑膠,仁武廠,南部,鹼氯製程,99,12.055,原製程:碱氯製程,0.9625,0.7051,,,,,,
和益化工,林園廠,南部,其他製程,88,10.5555,原製程:正烷烴脫氫製程,0.12,0.09,,,,0.09,,
長春石化,苗栗二廠,北部,甲醇重組,,,,,0.5067,,,,0.45,,
長春石化,彰濱廠,中部,甲醇重組,,,,,0.157,,,,,,
信昌化學,林園廠,南部,天然氣重組,99,10.9661,,0.583,0.383,,,,0.0789,,
國喬石化,高雄廠,南部,其他製程,99.9995,3.6124,原製程:石化廠脫氫反應,0.108,0.09135,,,,,,
華夏海灣,頭份廠,中部,鹼氯製程,96.2,,原製程:鹼氯製程電解產氫,0.0892,0.088,,,,,,
中石化,小港廠,南部,天然氣重組,,,,,,,,,1.497,,1.9
中石化,小港廠,南部,其他製程,,,原製程:環己醇脫氫,,,,,,0.004,,
台灣塑膠,仁武廠,南部,鹼氯製程,,,原製程:碱氯製程,,,,,,0.7,,0.85
台灣塑膠,麥寮廠,中部,鹼氯製程,,,原製程:碱氯製程,,,,,,2.8,,3.15
李長榮,高雄廠,南部,甲醇裂解,,,,,,,,,0.073,,0.2
中石化,頭份廠,中部,天然氣重組,,,,,,,,,,,2.5
長春石化,苗栗二廠,北部,甲醇重組,99.9,10.4598,,0.75,,,,,,,
長春石化,彰濱廠,中部,甲醇重組,99.9,10.828,,0.36,,,,,,,
台塑科騰,HSBC廠,中部,其他製程,99.999,,原製程:OL-2,,,,,,,,
中石化,頭份廠,中部,天然氣重組,99.999,8.62,原製程:Plant1: SMR+Benfield Process; 原製程:Plant2: SMR+PSA Process; 原製程:Plant3: SMR+PSA Process,2.2868,,,,,,,
國喬石化,高雄廠,南部,外售統籌,,,,,,0.09135,"鄰近廠區(0.03285噸), 氣體廠(0.0585噸)",,,,
台灣苯乙烯,高雄廠,南部,外售統籌,,,,,,0.2131,鄰近廠區(0.2131噸),,,,
台灣化纖,台北廠區廠,北部,外售統籌,,,,,,4.6,鄰近廠區(4.6噸),,,,
