公司,廠區,區域,用途,純度,備註,2025_用量,2025_外購量,2025_外購對象,2024_用量,2023_用量,外購來源公司,外購來源廠區,運輸方式
TOTAL_SUMMARY,,,,,,50.5296774,7.2421274,,54.38266158,48.25,,,
大連化工,大發廠,南部,化學製程,99,"原用途:1,4-丁二醇",1.0429,,,,,,,
大連化工,麥寮廠,中部,化學製程,99,"原用途:1,4-丁二醇",0.8024,,,,,,,
台塑化,麥寮台塑工業園區廠,中部,加氫脫硫,99.9,原用途:加氫脫硫單元,22.7448,6.3075,鄰近廠區(6.3075噸),23.04,22.5,,,
台塑化,麥寮台塑工業園區廠,中部,化學製程,99.9,原用途:烯烴廠乙烯氫化製程; 原用途:烯烴廠丙烯氫化製程; 原用途:烯烴廠汽油氫化製程; 原用途:異戊二烯廠C5氫化製程,1.5443,,,,,,,
台灣中油,石化事業部,南部,加氫脫硫,95,原用途:新三輕組反應器使用; 原用途:四輕組反應器使用,1.612,,,0.95,1.4,,,
台灣中油,石化事業部,南部,燃料燃燒,,,1.6783,,,0.34,,,,
台灣中油,桃園煉油廠,北部,加氫脫硫,99.9,原用途:硫磺尾氣還原,3.6892,,,3.63,4.9,,,
台灣中油,桃園煉油廠,北部,加氫脫硫,93,,0.0262,,,,,,,
台灣中油,桃園煉油廠,北部,化學製程,,烷化製程,0.0236,,,,,,,
台灣中油,大林煉油廠,南部,加氫脫硫,99.9,原用途:硫磺尾氣還原,5.6741,0.3742,中油林園石化廠(0.3742噸),5.2809,10.5,,,
台灣中油,大林煉油廠,南部,加氫脫硫,,,0.0004,,,,,,,
台灣中油,大林煉油廠,南部,化學製程,,烷化製程,0.0768,,,,,,,
台灣中油,大林煉油廠,南部,其他用途,,原用途:烯烴轉化,0.0031,,,,,,,
台灣中油,大林煉油廠,南部,燃料燃燒,,,0.0019,,,0.002,,,,
台灣石化,台灣石化廠,南部,化學製程,99.9,異丙醇製程,0.046,,,,,,,
台灣石化,台灣石化廠,南部,燃料燃燒,,,0.12,,,,,,,
和桐化學,仁武廠,南部,化學製程,,環保溶劑製程,0.0024674,0.0024674,鄰近廠區(0.0024674噸),,,,,
和益化工,林園廠,南部,化學製程,88,氫化樹脂製程,0.033,,,,,,,
和益化工,林園廠,南部,燃料燃燒,,,0.09,,,,,,,
長春石化,苗栗二廠,北部,化學製程,99.9,雙氧水製程,0.5067,,,,5,,,
長春石化,彰濱廠,中部,化學製程,99.9,雙氧水製程,0.157,,,,,,,
信昌化學,林園廠,南部,化學製程,99,原用途:環己酮製程,0.422,,,,,,,
國喬石化,高雄廠,南部,燃料燃燒,99.9995,,0.48425,,,,,,,
華夏海灣,頭份廠,中部,燃料燃燒,96.2,原用途:鹽酸爐燃燒合成為32%HCl,0.088,,,,,,,
環球橡膠,小港廠,南部,化學製程,,原用途:SBS氫化製程,0.0534,0.0534,鄰近廠區(0.0534噸),,,,,
台灣苯乙烯,高雄廠,南部,燃料燃燒,93,,1.5201,,,,0.69,,,
台灣塑膠,麥寮廠,中部,化學製程,99.5,正丁醇製程,0.6983,0.3437,"正丁醇：購自台醋公司醋酸廠(0.3353噸), HDPE：購自塑化公司(0.0061噸), LLDPE：購自塑化公司(0.0023噸)",,,,,
台灣塑膠,麥寮廠,中部,化學製程,99.99,原用途:麥寮HDPE粉漿製程; 原用途:LLDPE氣相製程; 原用途:其他,0.1961,,,,,,,
