Date,HScode,Name,Country,Type,Value,Weight
2020-01,29161410,甲基丙烯酸甲酯,中國大陸,進口總值(含復進口),94,66000
2020-01,29161410,甲基丙烯酸甲酯,中國大陸,出口總值(含復出口),4243,3273870
2020-01,29161410,甲基丙烯酸甲酯,巴基斯坦,出口總值(含復出口),48,30400
2020-01,29161410,甲基丙烯酸甲酯,日本,進口總值(含復進口),88,63560
2020-01,29161410,甲基丙烯酸甲酯,印尼,出口總值(含復出口),259,197570
2020-01,29161410,甲基丙烯酸甲酯,印度,出口總值(含復出口),411,273600
2020-01,29161410,甲基丙烯酸甲酯,阿拉伯聯合大公國,出口總值(含復出口),96,45600
2020-01,29161410,甲基丙烯酸甲酯,南韓,進口總值(含復進口),0,40
2020-01,29161410,甲基丙烯酸甲酯,泰國,進口總值(含復進口),1401,1015873
2020-01,29161410,甲基丙烯酸甲酯,泰國,出口總值(含復出口),23,15200
2020-01,29161410,甲基丙烯酸甲酯,馬來西亞,出口總值(含復出口),150,100000
2020-01,29161410,甲基丙烯酸甲酯,菲律賓,出口總值(含復出口),1136,818870
2020-01,29161410,甲基丙烯酸甲酯,越南,出口總值(含復出口),927,677360
2020-01,29161410,甲基丙烯酸甲酯,新加坡,進口總值(含復進口),197,137210
2020-01,29161410,甲基丙烯酸甲酯,墨西哥,出口總值(含復出口),24,15200
2020-01,29161410,甲基丙烯酸甲酯,澳大利亞,出口總值(含復出口),49,30400
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,中國大陸,出口總值(含復出口),2079,2369000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,巴西,出口總值(含復出口),19,17000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,巴基斯坦,出口總值(含復出口),15,15000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,日本,進口總值(含復進口),0,0
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,日本,出口總值(含復出口),486,456000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,以色列,出口總值(含復出口),42,42000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,阿拉伯聯合大公國,出口總值(含復出口),16,16000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,阿根廷,出口總值(含復出口),20,21000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,阿曼,出口總值(含復出口),139,142000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,俄羅斯,出口總值(含復出口),41,41000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,美國,進口總值(含復進口),0,0
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,美國,出口總值(含復出口),97,103000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,埃及,出口總值(含復出口),21,21000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,馬來西亞,出口總值(含復出口),136,140000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,菲律賓,出口總值(含復出口),79,81000
2020-01,29173300,鄰苯二甲酸二壬酯或二癸酯,越南,出口總值(含復出口),159,138000
