Date,HScode,Name,Country,Type,Value,Weight
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,進口,2930,45625
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,中國大陸,出口,3,3
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,巴西,進口,89,288
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,進口,47,134
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,日本,出口,10,20
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印尼,進口,57,257
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,印度,進口,30,196
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,法國,進口,18,84
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,美國,進口,3322,13730
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,英國,進口,91,380
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,泰國,出口,17,31
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,烏克蘭,進口,168,788
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,紐西蘭,進口,14,19
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,進口,34,120
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,馬來西亞,出口,14,22
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,菲律賓,出口,32,57
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,越南,出口,210,458
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,德國,進口,0,0
2022-01,2507,高嶺土及其他高嶺土質黏土，不論已否煅燒,澳大利亞,進口,18,96
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,中國大陸,進口,247,289
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,中國大陸,出口,0,0
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,日本,進口,1965,27900
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,北馬里亞納群島,出口,97,1800
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印尼,進口,3586,81016
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印尼,出口,26,24
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,印度,出口,5,0
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,其他國家,出口,0,0
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,法國,進口,25,42
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,阿拉伯聯合大公國,出口,0,0
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,南韓,進口,75,93
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,美國,出口,1590,30170
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,香港,出口,1236,29100
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,泰國,進口,2963,48700
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,馬來西亞,進口,57,410
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,馬紹爾群島,出口,3,21
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,密克羅尼西亞,出口,4,24
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,荷蘭,進口,16,15
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,菲律賓,出口,3,4
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,越南,進口,5416,89852
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,越南,出口,1,1
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,墨西哥,進口,29,54
2022-01,2523,卜特蘭水泥、鋁質水泥、熔渣水泥、過硫酸水泥及其他類似之水硬性水泥，不論是否著色或呈熔滓狀,關島,出口,692,12800
2022-01,280410,氫,美國,進口,2,0.001
2022-01,2808,硝酸；磺硝酸,中國大陸,進口,53,79.4
2022-01,2808,硝酸；磺硝酸,中國大陸,出口,231,120.735
2022-01,2808,硝酸；磺硝酸,中華民國,進口,0,0.072
2022-01,2808,硝酸；磺硝酸,日本,進口,24,19.861
2022-01,2808,硝酸；磺硝酸,比利時,進口,84,122.64
2022-01,2808,硝酸；磺硝酸,以色列,出口,26,17.024
2022-01,2808,硝酸；磺硝酸,加拿大,進口,3,0.105
2022-01,2808,硝酸；磺硝酸,印度,出口,640,2850
2022-01,2808,硝酸；磺硝酸,西班牙,進口,3,0.423
2022-01,2808,硝酸；磺硝酸,南韓,進口,172,318.08
2022-01,2808,硝酸；磺硝酸,美國,出口,12,14
2022-01,2808,硝酸；磺硝酸,泰國,進口,13,22.4
2022-01,2808,硝酸；磺硝酸,馬來西亞,出口,257,1020
2022-01,2808,硝酸；磺硝酸,荷蘭,進口,13,20.88
2022-01,2808,硝酸；磺硝酸,新加坡,進口,120,25.44
2022-01,2808,硝酸；磺硝酸,新加坡,出口,86,49.96
